station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0;rreetsd0;tso005d0;tso010d0;tso020d0
BEH;01.01.2026 00:00;-8.9;-6.1;-11.1;;;;52.7;1.6;765.8;;1443.7;;1008.6;3.3;9.9;11.9;35.6;9.5;34.2;;0;0;;76;;;;16;344;98;0.6;0;86;28.9;20.9;;;;
BEH;02.01.2026 00:00;-8.2;-4.8;-11.6;;;;65;2.1;757.6;;1356.3;;998.4;3;18.2;10.8;65.5;17.7;63.7;;0;0;;75;;;;17;339;97;0.4;0;51;28.2;20.2;;;;
BEH;03.01.2026 00:00;-11.2;-7.8;-15.3;;;;57.1;1.5;757.4;;1363.8;;998;3.7;14.7;13.3;52.9;14;50.4;;0;0;;75;;;;10;352;100;0.5;0;343;31.2;23.2;;;;
BEH;04.01.2026 00:00;-13.8;-11.4;-16.3;;;;43.8;0.9;760.2;;1402;;1001.6;4.6;16.8;16.6;60.5;16.6;59.8;;0;0;;78;;;;9;354;100;0.6;0;338;33.8;25.8;;;;
BEH;05.01.2026 00:00;-13.2;-10.1;-15.8;;;;36.7;0.8;759.3;;1391;;1000.5;5.2;15.3;18.7;55.1;14.9;53.6;;0;0;;72;;;;16;352;100;0.8;0;331;33.2;25.2;;;;
BEH;06.01.2026 00:00;-13.1;-10.9;-17.1;;;;38.8;0.9;760.4;;1401.8;;1001.8;10.3;15.3;37.1;55.1;14.9;53.6;;0;0;;61;;;;21;303;86;0.8;0;342;33.1;25.1;;;;
BEH;07.01.2026 00:00;-15.4;-11.5;-19.1;;;;44.1;0.8;760.2;;1407.3;;1001.6;7.9;16.9;28.4;60.8;16.4;59;;0;0;;79;;;;10;355;100;0.7;0;338;35.4;27.4;;;;
BEH;08.01.2026 00:00;-9;-4.2;-13.4;;;;71.7;2.3;762.7;;1411.7;;1004.7;7.1;19.1;25.6;68.8;18.5;66.6;;1.1;1;;36;;;;34;0;0;0.6;0;342;29;21;;;;
BEH;09.01.2026 00:00;-7.2;-5.1;-11.9;;;;79.9;2.9;757.2;;1348.5;;997.8;3.5;10.2;12.6;36.7;9.9;35.6;;0;0.1;;50;;;;41;42;12;0.2;0;51;27.2;19.2;;;;
BEH;10.01.2026 00:00;-9.9;-8.9;-11.7;;;;60.6;1.7;758.2;;1367.8;;999.1;10.5;22;37.8;79.2;20.7;74.5;;0;0;;44;;;;39;0;0;0.8;0;322;29.9;21.9;;;;
BEH;11.01.2026 00:00;-11.6;-9.6;-14.6;;;;52.7;1.4;769.2;;1486.8;;1012.8;9.4;19.7;33.8;70.9;19.5;70.2;;0;0;;81;;;;19;281;79;0.7;0;328;31.6;23.6;;;;
BEH;12.01.2026 00:00;-5.7;-0.3;-12.1;;;;40;1.8;772.6;;1505;;1017.1;2.3;10.6;8.3;38.2;10.3;37.1;;0;0;;78;;;;34;188;53;0.7;0;353;25.7;17.7;;;;
BEH;13.01.2026 00:00;-3.8;-1.7;-5.3;;;;70.9;3.3;774.1;;1514.2;;1018.9;2.8;8.1;10.1;29.2;7.9;28.4;;0;0;;39;;;;37;3;1;0.6;0;116;23.8;15.8;;;;
BEH;14.01.2026 00:00;-3.6;-1.7;-4.9;;;;80.9;3.8;775.1;;1524.5;;1020.2;1.7;4.8;6.1;17.3;4.3;15.5;;0;0;;68;;;;45;130;36;0.3;0;120;23.6;15.6;;;;
BEH;15.01.2026 00:00;-3.7;-2.7;-5;;;;92.8;4.3;774;;1512.9;;1018.8;3.5;11.8;12.6;42.5;11.5;41.4;;0.5;0.3;;36;;;;34;0;0;0.3;0;124;23.7;15.7;;;;
BEH;16.01.2026 00:00;-3.1;-1.9;-4.3;;;;83;4;774.2;;1514.1;;1019.1;4.5;11.2;16.2;40.3;10.8;38.9;;0;0.2;;55;;;;44;45;13;0.5;0;129;23.1;15.1;;;;
BEH;17.01.2026 00:00;-2.2;-1.1;-3.6;;;;83.5;4.3;775.4;;1523.9;;1020.6;4.8;11.2;17.3;40.3;10.8;38.9;;0;0;;37;;;;35;0;0;0.5;0;120;22.2;14.2;;;;
BEH;18.01.2026 00:00;-3.7;-2.9;-4.3;;;;95.8;4.5;775.9;;1533.1;;1021.2;4.1;9.3;14.8;33.5;8.9;32;;2.5;2.5;;30;;;;29;0;0;0.3;0;129;23.7;15.7;;;;
